datetime,timestamp_ms,mq9_value,mq135_value
1970-01-01 00:13:33.254,813254,85,27
1970-01-01 00:05:16.180,316180,84,34
1970-01-01 00:13:34.364,814364,80,26
1970-01-01 00:05:17.290,317290,83,27
1970-01-01 00:13:35.475,815475,86,20
1970-01-01 00:05:18.400,318400,80,22
1970-01-01 00:13:36.585,816585,84,22
1970-01-01 00:05:19.510,319510,87,31
1970-01-01 00:13:37.685,817685,80,25
1970-01-01 00:05:20.610,320610,83,29
1970-01-01 00:13:38.796,818796,83,25
1970-01-01 00:05:21.720,321720,86,30
1970-01-01 00:13:39.905,819905,85,27
1970-01-01 00:05:22.830,322830,87,30
1970-01-01 00:13:41.016,821016,81,18
1970-01-01 00:05:23.940,323940,85,25
1970-01-01 00:13:42.127,822127,83,37
1970-01-01 00:05:25.050,325050,87,27
1970-01-01 00:13:43.241,823241,80,29
1970-01-01 00:05:26.155,326155,80,19
1970-01-01 00:13:44.346,824346,80,20
1970-01-01 00:05:27.270,327270,85,19
1970-01-01 00:13:45.466,825466,82,30
1970-01-01 00:05:28.390,328390,80,16
1970-01-01 00:13:46.587,826587,80,34
1970-01-01 00:05:29.510,329510,80,27
1970-01-01 00:13:47.708,827708,80,33
1970-01-01 00:05:30.630,330630,89,23
1970-01-01 00:13:48.828,828828,86,26
1970-01-01 00:05:31.750,331750,84,28
1970-01-01 00:13:50.017,830017,80,34
1970-01-01 00:05:32.940,332940,89,26
1970-01-01 00:13:51.139,831139,85,30
1970-01-01 00:05:34.060,334060,84,22
1970-01-01 00:13:52.259,832259,82,32
1970-01-01 00:05:35.180,335180,82,24
1970-01-01 00:13:53.383,833383,80,23
